feature,family,decision,scope,rationale,replacement_or_action,evidence_note,ALL_corr_packs,ALL_abs_corr_packs,ALL_corr_positive,ALL_nonzero_rate,SITE802_corr_packs,SITE802_abs_corr_packs,SITE802_corr_positive,SITE802_nonzero_rate,site802_total_coef_importance
Class Name hashed group,categorical hashed feature,KEEP,primary model,"Base NN first-layer usage shows strong utilization, especially Class/Line/Site groups.",,,,,,,,,,,0.0
Dc Avail Bucket hashed group,categorical hashed feature,KEEP,primary model,Useful categorical structure; keep but cap dimensions to prevent overfitting.,,,,,,,,,,,0.0
Flag hashed group,categorical hashed feature,KEEP,primary model,Useful categorical structure; keep but cap dimensions to prevent overfitting.,,,,,,,,,,,0.0
Line Name hashed group,categorical hashed feature,KEEP,primary model,"Base NN first-layer usage shows strong utilization, especially Class/Line/Site groups.",,,,,,,,,,,0.0
Rank hashed group,categorical hashed feature,KEEP,primary model,Useful categorical structure; keep but cap dimensions to prevent overfitting.,,,,,,,,,,,0.0
Site hashed group,categorical hashed feature,KEEP,primary model,"Base NN first-layer usage shows strong utilization, especially Class/Line/Site groups.",,,,,,,,,,,0.0
Class Name,categorical identity,KEEP,primary model,Approved original worksheet field; keep as core model input.,,,,,,,,,,,0.0
Line Name,categorical identity,KEEP,primary model,Approved original worksheet field; keep as core model input.,,,,,,,,,,,0.0
Dc Avail,dc availability,KEEP,primary model,Approved original worksheet field; keep as core model input.,,,0.2078,0.2078,0.2784,1.0,0.0683,0.0683,0.0534,1.0,0.0
D30,demand/sales,KEEP,primary model,Approved original worksheet field; keep as core model input.,,,0.1841,0.1841,0.087,0.5871,0.1957,0.1957,0.0239,0.4778,0.0
D60,demand/sales,KEEP,primary model,Approved original worksheet field; keep as core model input.,,,0.1715,0.1715,0.0956,0.7071,0.1944,0.1944,0.0147,0.6404,0.0
L30,demand/sales,KEEP,primary model,Approved original worksheet field; keep as core model input.,,,0.1177,0.1177,0.0665,0.7174,0.0951,0.0951,0.0064,0.4581,0.0
LW,demand/sales,KEEP,primary model,Approved original worksheet field; keep as core model input.,,,0.211,0.211,0.161,0.5403,0.0451,0.0451,0.0254,0.2709,0.0
TTM,demand/sales,KEEP,primary model,Approved original worksheet field; keep as core model input.,,,0.1251,0.1251,0.0897,0.9538,0.1261,0.1261,0.0156,0.9458,0.0
Cost,original sheet,KEEP,primary model,"Approved original field. Keep, but use log/cost interactions rather than raw cost dominance.",,,-0.0185,0.0185,-0.0542,1.0,0.086,0.086,0.1124,1.0,0.0
FLM,original sheet,KEEP,primary model,Approved original worksheet field; keep as core model input.,,,-0.0169,0.0169,0.1465,0.962,-0.0175,0.0175,0.0988,0.9951,0.0
MIL,original sheet,KEEP,primary model,Approved original worksheet field; keep as core model input.,,,-0.0887,0.0887,-0.1297,0.9714,0.0315,0.0315,-0.0775,0.798,0.0
Alloc. Rec.,recommendation/demand,KEEP,primary model,Approved original worksheet field; keep as core model input.,,,0.1587,0.1587,0.0916,1.0,0.0868,0.0868,-0.0195,1.0,0.0
Proj. Demand,recommendation/demand,KEEP,primary model,Approved original worksheet field; keep as core model input.,,,0.1948,0.1948,0.1249,0.8243,0.132,0.132,0.0187,0.8079,0.0
Flag,router,KEEP,primary model,Keep as router/segment indicator; do not let it overpower actual demand/supply features.,,,,,,,,,,,0.0
Site,site/store identity,KEEP,primary model,Approved original worksheet field; keep as core model input.,,,,,,,,,,,0.0
Rank,store ranking,KEEP,primary model,Approved original worksheet field; keep as core model input.,,,,,,,,,,,0.0
Supply,supply,KEEP,primary model,Approved original worksheet field; keep as core model input.,,,-0.0333,0.0333,-0.084,0.8711,0.0483,0.0483,-0.0872,0.4828,0.0
avg_demand,v3 base engineered,KEEP,primary model,Original v3 engineered feature; retained unless duplicated by a stronger v3.3 feature.,Keep but de-duplicate if a same-purpose v3.3 feature exists.,,,,,,,,,,0.0
d30_gap,v3 base engineered,KEEP,primary model,Original v3 engineered feature; retained unless duplicated by a stronger v3.3 feature.,Keep but de-duplicate if a same-purpose v3.3 feature exists.,,,,,,,,,,0.0
d30_to_d60,v3 base engineered,KEEP,primary model,Original v3 engineered feature; retained unless duplicated by a stronger v3.3 feature.,Keep but de-duplicate if a same-purpose v3.3 feature exists.,,,,,,,,,,0.0
d60_gap,v3 base engineered,KEEP,primary model,Original v3 engineered feature; retained unless duplicated by a stronger v3.3 feature.,Keep but de-duplicate if a same-purpose v3.3 feature exists.,,,,,,,,,,0.0
