model,segment,rows,mae,exact_rate,false_pos,false_neg,pred_units,actual_units,unit_delta
v3_7_competition,All,7623,0.411386593204775,0.8922996195723468,207,305,19757.0,19615.0,142.0
v3_7_competition,Allocate,3388,0.5608028335301063,0.8659976387249114,136,105,15684.0,15270.0,414.0
v3_7_competition,Review,4235,0.29185360094451,0.9133412042502952,71,200,4073.0,4345.0,-272.0
v3_7_competition,AK Stores,455,0.8901098901098901,0.8153846153846154,21,14,1960.0,1887.0,73.0
v3_7_competition,AK Allocate,220,1.2272727272727273,0.759090909090909,16,3,1590.0,1518.0,72.0
v3_7_competition,AK Review,235,0.574468085106383,0.8680851063829788,5,11,370.0,369.0,1.0
v3_7_competition,Non-AK,7168,0.38099888392857145,0.8971819196428571,186,291,17797.0,17728.0,69.0
v3_7_competition,Site 802,203,0.5862068965517241,0.812807881773399,4,26,161.0,236.0,-75.0
v3_8_ak_specialist,All,7623,0.5335169880624426,0.8727535091171454,186,471,18356.0,19615.0,-1259.0
v3_8_ak_specialist,Allocate,3388,0.8234946871310508,0.8252656434474617,120,256,14454.0,15270.0,-816.0
v3_8_ak_specialist,Review,4235,0.30153482880755605,0.9107438016528926,66,215,3902.0,4345.0,-443.0
v3_8_ak_specialist,AK Stores,455,2.936263736263736,0.4879120879120879,0,180,559.0,1887.0,-1328.0
v3_8_ak_specialist,AK Allocate,220,5.2727272727272725,0.1318181818181818,0,154,360.0,1518.0,-1158.0
v3_8_ak_specialist,AK Review,235,0.7489361702127659,0.8212765957446808,0,26,199.0,369.0,-170.0
v3_8_ak_specialist,Non-AK,7168,0.38099888392857145,0.8971819196428571,186,291,17797.0,17728.0,69.0
v3_8_ak_specialist,Site 802,203,0.5862068965517241,0.812807881773399,4,26,161.0,236.0,-75.0
