segment,rows,mae,exact,false_pos,false_neg,pred_units,actual_units,unit_delta,model,file
All,3206,0.4978165938864629,0.8727386150966937,112,134,10920.0,10498.0,422.0,v3_8_ak_specialist,"Daily Allocation - 127, 132, 128, 150, 706, 134 - 6.1.2026.xlsb"
Allocate,1472,0.545516304347826,0.891983695652174,60,13,8024.0,7535.0,489.0,v3_8_ak_specialist,"Daily Allocation - 127, 132, 128, 150, 706, 134 - 6.1.2026.xlsb"
Review,1734,0.4573241061130334,0.856401384083045,52,121,2896.0,2963.0,-67.0,v3_8_ak_specialist,"Daily Allocation - 127, 132, 128, 150, 706, 134 - 6.1.2026.xlsb"
Site 802,83,0.6867469879518072,0.8072289156626506,4,10,26.0,47.0,-21.0,v3_8_ak_specialist,"Daily Allocation - 127, 132, 128, 150, 706, 134 - 6.1.2026.xlsb"
Site 802 Allocate,57,0.6842105263157895,0.7894736842105263,2,8,20.0,35.0,-15.0,v3_8_ak_specialist,"Daily Allocation - 127, 132, 128, 150, 706, 134 - 6.1.2026.xlsb"
Site 802 Review,26,0.6923076923076923,0.8461538461538461,2,2,6.0,12.0,-6.0,v3_8_ak_specialist,"Daily Allocation - 127, 132, 128, 150, 706, 134 - 6.1.2026.xlsb"
Non-802,3123,0.49279538904899134,0.8744796669868716,108,124,10894.0,10451.0,443.0,v3_8_ak_specialist,"Daily Allocation - 127, 132, 128, 150, 706, 134 - 6.1.2026.xlsb"
All,3206,0.4978165938864629,0.8727386150966937,112,134,10920.0,10498.0,422.0,v3_9_feature_pruned,"Daily Allocation - 127, 132, 128, 150, 706, 134 - 6.1.2026.xlsb"
Allocate,1472,0.545516304347826,0.891983695652174,60,13,8024.0,7535.0,489.0,v3_9_feature_pruned,"Daily Allocation - 127, 132, 128, 150, 706, 134 - 6.1.2026.xlsb"
Review,1734,0.4573241061130334,0.856401384083045,52,121,2896.0,2963.0,-67.0,v3_9_feature_pruned,"Daily Allocation - 127, 132, 128, 150, 706, 134 - 6.1.2026.xlsb"
Site 802,83,0.6867469879518072,0.8072289156626506,4,10,26.0,47.0,-21.0,v3_9_feature_pruned,"Daily Allocation - 127, 132, 128, 150, 706, 134 - 6.1.2026.xlsb"
