model,segment,rows,mae_file_avg,exact_file_avg,false_pos,false_neg,pred_units,actual_units,unit_delta
v3_8_ak_specialist,All,7623,0.44193994564988404,0.8934790087624364,210,299,19826.0,19615.0,211.0
v3_8_ak_specialist,Allocate,3388,0.5735682574935657,0.8590611633409269,136,102,15720.0,15270.0,450.0
v3_8_ak_specialist,Non-802,7420,0.442590842368622,0.8950316130241064,206,273,19665.0,19379.0,286.0
v3_8_ak_specialist,Review,4235,0.30163136050187705,0.9191130325486989,74,197,4106.0,4345.0,-239.0
v3_8_ak_specialist,Site 802,203,0.5737908444408865,0.8078980373320525,4,26,161.0,236.0,-75.0
v3_8_ak_specialist,Site 802 Allocate,138,0.7619617224880383,0.730701754385965,2,21,142.0,203.0,-61.0
v3_8_ak_specialist,Site 802 Review,65,0.2730769230769231,0.9240384615384616,2,5,19.0,33.0,-14.0
v3_9_feature_pruned,All,7623,0.4414223473061988,0.8939966071061216,208,299,19824.0,19615.0,209.0
v3_9_feature_pruned,Allocate,3388,0.5735682574935657,0.8590611633409269,136,102,15720.0,15270.0,450.0
v3_9_feature_pruned,Non-802,7420,0.4420491305593045,0.8955733248334239,204,273,19663.0,19379.0,284.0
v3_9_feature_pruned,Review,4235,0.30041776826886735,0.9203266247817087,72,197,4104.0,4345.0,-241.0
v3_9_feature_pruned,Site 802,203,0.5737908444408865,0.8078980373320525,4,26,161.0,236.0,-75.0
v3_9_feature_pruned,Site 802 Allocate,138,0.7619617224880383,0.730701754385965,2,21,142.0,203.0,-61.0
v3_9_feature_pruned,Site 802 Review,65,0.2730769230769231,0.9240384615384616,2,5,19.0,33.0,-14.0
