model,segment,rows,mae_weighted,exact_weighted,false_pos,false_neg,pred_units,actual_units,unit_delta
v3_8_ak_specialist,All,7623,0.40443394988849535,0.8926931654204382,210,299,19826.0,19615.0,211.0
v3_8_ak_specialist,Allocate,3388,0.5501770956316411,0.8668831168831169,136,102,15720.0,15270.0,450.0
v3_8_ak_specialist,Review,4235,0.28783943329397876,0.9133412042502952,74,197,4106.0,4345.0,-239.0
v3_8_ak_specialist,AK Stores,455,0.7736263736263737,0.8219780219780219,24,8,2029.0,1887.0,142.0
v3_8_ak_specialist,AK Allocate,220,1.0636363636363637,0.7727272727272727,16,0,1626.0,1518.0,108.0
v3_8_ak_specialist,AK Review,235,0.502127659574468,0.8680851063829788,8,8,403.0,369.0,34.0
v3_8_ak_specialist,Non-AK,7168,0.38099888392857145,0.8971819196428571,186,291,17797.0,17728.0,69.0
v3_8_ak_specialist,Site 802,203,0.5862068965517241,0.812807881773399,4,26,161.0,236.0,-75.0
v3_9_feature_pruned,All,7623,0.4041715859897678,0.8929555293191657,208,299,19824.0,19615.0,209.0
v3_9_feature_pruned,Allocate,3388,0.5501770956316411,0.8668831168831169,136,102,15720.0,15270.0,450.0
v3_9_feature_pruned,Review,4235,0.2873671782762692,0.9138134592680047,72,197,4104.0,4345.0,-241.0
v3_9_feature_pruned,AK Stores,455,0.7692307692307693,0.8263736263736263,22,8,2027.0,1887.0,140.0
v3_9_feature_pruned,AK Allocate,220,1.0636363636363637,0.7727272727272727,16,0,1626.0,1518.0,108.0
v3_9_feature_pruned,AK Review,235,0.49361702127659574,0.8765957446808511,6,8,401.0,369.0,32.0
v3_9_feature_pruned,Non-AK,7168,0.38099888392857145,0.8971819196428571,186,291,17797.0,17728.0,69.0
v3_9_feature_pruned,Site 802,203,0.5862068965517241,0.812807881773399,4,26,161.0,236.0,-75.0
